"","time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","grade","gender","full_time_equivalent","headcount"
"54",202122,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Deputy head teacher","Total",2142.805202,2189.031518
"55",202122,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Assistant head teacher","Total",3808.247384,3954.702527
"56",202122,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Classroom teacher","Total",43646.6323,48130.97894
"57",202122,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Total","Male",13090.20686,13451.93178
"58",202122,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Total","Female",38173.63001,42421.25572
"59",202122,"Academic year","Regional","E92000001","England","E12000005","West Midlands","Total","Gender Unclassified",766.58,858
"60",202122,"Academic year","Regional","E92000001","England","E12000006","East of England","Total","Total",51900.20667,58231.66667
"61",202122,"Academic year","Regional","E92000001","England","E12000006","East of England","Head teacher","Total",2474.573525,2506.674386
"62",202122,"Academic year","Regional","E92000001","England","E12000006","East of England","Deputy head teacher","Total",2034.38589,2103.832802
"63",202122,"Academic year","Regional","E92000001","England","E12000006","East of England","Assistant head teacher","Total",3194.990113,3353.932797
"64",202122,"Academic year","Regional","E92000001","England","E12000006","East of England","Classroom teacher","Total",44196.25714,50267.22668
"65",202122,"Academic year","Regional","E92000001","England","E12000006","East of England","Total","Male",13375.80905,13846.66327
"66",202122,"Academic year","Regional","E92000001","England","E12000006","East of England","Total","Female",38515.34128,44375.99685
"67",202122,"Academic year","Regional","E92000001","England","E12000006","East of England","Total","Gender Unclassified",9.056343296,9.006541778
"68",202122,"Academic year","Regional","E92000001","England","E12000008","South East","Total","Total",73711.58573,82475.13801
"69",202122,"Academic year","Regional","E92000001","England","E12000008","South East","Head teacher","Total",3427.029745,3477.861521
"70",202122,"Academic year","Regional","E92000001","England","E12000008","South East","Deputy head teacher","Total",2662.053082,2756.854821
"71",202122,"Academic year","Regional","E92000001","England","E12000008","South East","Assistant head teacher","Total",4398.321153,4605.12331
"72",202122,"Academic year","Regional","E92000001","England","E12000008","South East","Classroom teacher","Total",63224.18175,71635.29836
"73",202122,"Academic year","Regional","E92000001","England","E12000008","South East","Total","Male",18616.14941,19258.6974
"74",202122,"Academic year","Regional","E92000001","England","E12000008","South East","Total","Female",54908.06291,63013.66174
"75",202122,"Academic year","Regional","E92000001","England","E12000008","South East","Total","Gender Unclassified",187.3734121,202.7788722
"76",202122,"Academic year","Regional","E92000001","England","E12000009","South West","Total","Total",42570.63503,48468.44
"77",202122,"Academic year","Regional","E92000001","England","E12000009","South West","Head teacher","Total",2308.165699,2337.88969
"78",202122,"Academic year","Regional","E92000001","England","E12000009","South West","Deputy head teacher","Total",1566.032228,1620.638575
"79",202122,"Academic year","Regional","E92000001","England","E12000009","South West","Assistant head teacher","Total",2470.718633,2605.04478
"80",202122,"Academic year","Regional","E92000001","England","E12000009","South West","Classroom teacher","Total",36225.71847,41904.86696
"81",202122,"Academic year","Regional","E92000001","England","E12000009","South West","Total","Male",11825.9453,12334.19944
"82",202122,"Academic year","Regional","E92000001","England","E12000009","South West","Total","Female",30631.24973,35999.24056
"83",202122,"Academic year","Regional","E92000001","England","E12000009","South West","Total","Gender Unclassified",113.44,135
"84",202122,"Academic year","Regional","E92000001","England","E13000001","Inner London","Total","Total",27496.72667,29125.95238
"85",202122,"Academic year","Regional","E92000001","England","E13000001","Inner London","Head teacher","Total",1082.244128,1096.575581
"86",202122,"Academic year","Regional","E92000001","England","E13000001","Inner London","Deputy head teacher","Total",1163.231558,1196.917774
"87",202122,"Academic year","Regional","E92000001","England","E13000001","Inner London","Assistant head teacher","Total",2169.776988,2275.217054
"88",202122,"Academic year","Regional","E92000001","England","E13000001","Inner London","Classroom teacher","Total",23081.47399,24557.24197
"89",202122,"Academic year","Regional","E92000001","England","E13000001","Inner London","Total","Male",7742.414622,7997.182447
"90",202122,"Academic year","Regional","E92000001","England","E13000001","Inner London","Total","Female",19748.31204,21122.76993
"91",202122,"Academic year","Regional","E92000001","England","E13000001","Inner London","Total","Gender Unclassified",6,6
"92",202122,"Academic year","Regional","E92000001","England","E13000002","Outer London","Total","Total",48223.47525,51966.09944
"93",202122,"Academic year","Regional","E92000001","England","E13000002","Outer London","Head teacher","Total",1674.442233,1698.227017
"94",202122,"Academic year","Regional","E92000001","England","E13000002","Outer London","Deputy head teacher","Total",1808.531407,1865.015009
"95",202122,"Academic year","Regional","E92000001","England","E13000002","Outer London","Assistant head teacher","Total",3421.17152,3570.108818
